"DoubleFloat", "Token::Keyword(Keyword::DoubleFloat)"
"DoubleInt", "Token::Keyword(Keyword::DoubleInt)"
"protocol", "Token::Keyword(Keyword::Protocol)"
"continue", "Token::Keyword(Keyword::Continue)"
"import", "Token::Keyword(Keyword::Import)"
"static", "Token::Keyword(Keyword::Static)"
"struct", "Token::Keyword(Keyword::Struct)"
"extern", "Token::Keyword(Keyword::Extern)"
"panics", "Token::Keyword(Keyword::Panics)"
"module", "Token::Keyword(Keyword::Module)"
"return", "Token::Keyword(Keyword::Return)"
"ignore", "Token::Keyword(Keyword::Ignore)"
"typeof", "Token::Keyword(Keyword::Typeof)"
"class", "Token::Keyword(Keyword::Class)"
"async", "Token::Keyword(Keyword::Async)"
"match", "Token::Keyword(Keyword::Match)"
"while", "Token::Keyword(Keyword::While)"
"await", "Token::Keyword(Keyword::Await)"
"break", "Token::Keyword(Keyword::Break)"
"const", "Token::Keyword(Keyword::Const)"
"final", "Token::Keyword(Keyword::Final)"
"Float", "Token::Keyword(Keyword::Float)"
"Usize", "Token::Keyword(Keyword::Usize)"
"Never", "Token::Keyword(Keyword::Never)"
"from", "Token::Keyword(Keyword::From)"
"enum", "Token::Keyword(Keyword::Enum)"
"type", "Token::Keyword(Keyword::Type)"
"else", "Token::Keyword(Keyword::Else)"
"loop", "Token::Keyword(Keyword::Loop)"
"pipe", "Token::Keyword(Keyword::Pipe)"
"this", "Token::Keyword(Keyword::This)"
"impl", "Token::Keyword(Keyword::Impl)"
"Bool", "Token::Keyword(Keyword::Bool)"
"Char", "Token::Keyword(Keyword::Char)"
"Void", "Token::Keyword(Keyword::Void)"
"for", "Token::Keyword(Keyword::For)"
"let", "Token::Keyword(Keyword::Let)"
"try", "Token::Keyword(Keyword::Try)"
"mut", "Token::Keyword(Keyword::Mut)"
"pub", "Token::Keyword(Keyword::Pub)"
"Int", "Token::Keyword(Keyword::Int)"
"Any", "Token::Keyword(Keyword::Any)"
"as", "Token::Keyword(Keyword::As)"
"fn", "Token::Keyword(Keyword::Fn)"
"if", "Token::Keyword(Keyword::If)"
"in", "Token::Keyword(Keyword::In)"
"#int", "Token::Literal(Literal::IntegerLiteral($i32$))"
"#float", "Token::Literal(Literal::FloatLiteral($HashableFloat<f32>$))"
"#double_int", "Token::Literal(Literal::DoubleIntegerLiteral($i64$))"
"#double_float", "Token::Literal(Literal::DoubleFloatLiteral($HashableFloat<f64>$))"
"#string", "Token::Literal(Literal::StringLiteral($Span$))"
"#char", "Token::Literal(Literal::CharLiteral($char$))"
"#bool", "Token::Literal(Literal::BoolLiteral($bool$))"
"..=", "Token::Operator(Operator::RangeInclusive)"
"=>", "Token::Operator(Operator::FatArrow)"
"|>", "Token::Operator(Operator::Pipe)"
"->", "Token::Operator(Operator::Arrow)"
"::", "Token::Operator(Operator::NamespaceResolver)"
"||", "Token::Operator(Operator::LogicalOr)"
"&&", "Token::Operator(Operator::LogicalAnd)"
"==", "Token::Operator(Operator::Equality)"
"!=", "Token::Operator(Operator::Inequality)"
"<=", "Token::Operator(Operator::LessThanOrEqual)"
">=", "Token::Operator(Operator::GreaterThanOrEqual)"
"<<", "Token::Operator(Operator::ShiftLeft)"
">>", "Token::Operator(Operator::ShiftRight)"
"**", "Token::Operator(Operator::PowerOf)"
"..", "Token::Operator(Operator::RangeExclusive)"
"+=", "Token::Operator(Operator::AddAssign)"
"-=", "Token::Operator(Operator::SubtractAssign)"
"*=", "Token::Operator(Operator::MultiplyAssign)"
"/=", "Token::Operator(Operator::DivideAssign)"
"*", "Token::Operator(Operator::Multiply)"
"=", "Token::Operator(Operator::Assignment)"
":", "Token::Operator(Operator::Colon)"
"@", "Token::Operator(Operator::At)"
"|", "Token::Operator(Operator::Or)"
"^", "Token::Operator(Operator::Xor)"
"&", "Token::Operator(Operator::And)"
"<", "Token::Operator(Operator::LessThan)"
">", "Token::Operator(Operator::GreaterThan)"
"+", "Token::Operator(Operator::Add)"
"-", "Token::Operator(Operator::Subtract)"
"/", "Token::Operator(Operator::Divide)"
"%", "Token::Operator(Operator::Remainder)"
"!", "Token::Operator(Operator::Not)"
"~", "Token::Operator(Operator::BitwiseNot)"
".", "Token::Operator(Operator::MemberAccess)"
"_", "Token::Operator(Operator::Wildcard)"
";", "Token::Delimiter(Delimiter::Semicolon)"
"{", "Token::Delimiter(Delimiter::LeftBrace)"
"}", "Token::Delimiter(Delimiter::RightBrace)"
"(", "Token::Delimiter(Delimiter::LeftParen)"
")", "Token::Delimiter(Delimiter::RightParen)"
",", "Token::Delimiter(Delimiter::Comma)"
"[", "Token::Delimiter(Delimiter::LeftBracket)"
"]", "Token::Delimiter(Delimiter::RightBracket)"
"#doc_comment", "Token::Comment(Comment::DocComment($Span$))"
"#line_comment", "Token::Comment(Comment::LineComment)"
"#block_comment", "Token::Comment(Comment::BlockComment)"
"#identifier", "Token::Identifier($Span$)"
"_", "Token::Operator(Operator::Wildcard)"
